trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-76.95226822781169,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-143.06325920250774,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-155.8730432607012,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-24.596047221754986,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-36.34616551056796,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-154.7629217894082,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-80.61212997242946,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-143.68765177216727,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-65.66213436524505,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,13,-59.85276542170006,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-56.2437853261936,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-94.36513566264617,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-78.0006252522571,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-77.39228457241688,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-98.3505221486617,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-88.7002448989807,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,1.1175519137235703,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-44.956558243761854,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-51.538573065297385,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-124.50010107172038,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,3,-17.109847508913457,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,0,8.347567683461921,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-14.937941201871821,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-37.958189240449464,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-104.56420312967512,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-36.35569691423135,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-68.03609608936715,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,2.681818997058439,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,7,-33.54386282696453,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,-38.39622814867946,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
