trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.00200407793334,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-84.43274913667989,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-85.64775860060179,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,7,-48.72906142696705,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-120.65552092472407,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-147.7978598449875,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-94.33552801079601,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-105.2703239655494,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-185.1095585876199,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-211.83168487503994,"{0: 19, 1: 2, 2: 2, 3: 4, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-55.618474025728936,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-87.85849432532436,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-92.88287583857041,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-95.34920265576547,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",35,0,-282.87063138187614,"{0: 15, 1: 3, 2: 11, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,7,-8.97771228379498,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,0,-143.45168030371872,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-75.2697477226265,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-50.82372131388537,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-65.17449549441388,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-57.0982226946087,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-312.12872365794465,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 5}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-48.22420623485294,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-98.25104416217012,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,11,-5.549284014922415,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-131.73631663586522,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,20,9.90541165946108,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-131.7052325205573,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",1
