trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.87895051424368,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.85746149327449,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.56383432830228,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.98423856846512,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.142865467263455,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.16699278491248,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.66456220860779,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.7198335237674,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.8616647967104,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.34554416834463,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.76021168996485,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.47467436824249,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.4316872211853,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.19767348040716,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.7912954177667,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.4487779430333,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.21843758306668,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.58824503118878,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.07440249996336,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-68.20929640551067,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,8,-35.74291302461256,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.34765213140471,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-259.74919055574065,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-149.51999483898055,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.02360289525629,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.03630437870207,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.47204549740596,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.31197579036792,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.2445457357224,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-68.98304502413995,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
